grid_x,grid_y,layer,direction,x,y
315.0,1260.0,out,left,317.00000000000006,1255.0000000000002
315.0,390.0,out,left,317.00000000000006,385.0000000000001
315.0,-15.0,out,left,317.00000000000006,-21.000000000000004
315.0,450.0,out,left,317.00000000000006,443.0000000000001
315.0,210.0,out,left,317.00000000000006,211.00000000000006
315.0,495.0,out,left,317.00000000000006,501.0000000000001
315.0,90.0,out,left,317.00000000000006,95.00000000000003
315.0,555.0,out,left,317.00000000000006,559.0000000000001
315.0,270.0,out,left,317.00000000000006,269.00000000000006
315.0,615.0,out,left,317.00000000000006,617.0000000000001
315.0,30.0,out,left,317.00000000000006,37.00000000000001
315.0,330.0,out,left,317.00000000000006,327.00000000000006
315.0,150.0,out,left,317.00000000000006,153.00000000000003
315.0,-1125.0,out,left,317.00000000000006,-1123.0000000000002
315.0,-1065.0,out,left,317.00000000000006,-1065.0000000000002
315.0,-1350.0,out,left,317.00000000000006,-1355.0000000000002
315.0,-1290.0,out,left,317.00000000000006,-1297.0000000000002
315.0,-1005.0,out,left,317.00000000000006,-1007.0000000000002
315.0,-945.0,out,left,317.00000000000006,-949.0000000000002
315.0,-885.0,out,left,317.00000000000006,-891.0000000000002
315.0,-840.0,out,left,317.00000000000006,-833.0000000000002
315.0,-780.0,out,left,317.00000000000006,-775.0000000000002
315.0,-720.0,out,left,317.00000000000006,-717.0000000000001
315.0,-660.0,out,left,317.00000000000006,-659.0000000000001
315.0,-600.0,out,left,317.00000000000006,-601.0000000000001
315.0,-540.0,out,left,317.00000000000006,-543.0000000000001
315.0,-1410.0,out,left,317.00000000000006,-1413.0000000000002
315.0,-480.0,out,left,317.00000000000006,-485.0000000000001
315.0,-420.0,out,left,317.00000000000006,-427.0000000000001
315.0,-375.0,out,left,317.00000000000006,-369.0000000000001
315.0,-315.0,out,left,317.00000000000006,-311.00000000000006
315.0,-255.0,out,left,317.00000000000006,-253.00000000000006
315.0,-195.0,out,left,317.00000000000006,-195.00000000000006
315.0,-135.0,out,left,317.00000000000006,-137.00000000000003
315.0,-75.0,out,left,317.00000000000006,-79.00000000000001
315.0,-1245.0,out,left,317.00000000000006,-1239.0000000000002
315.0,-1185.0,out,left,317.00000000000006,-1181.0000000000002
15885.0,1200.0,out,right,15883.000000000004,1197.0000000000002
15885.0,1140.0,out,right,15883.000000000004,1139.0000000000002
15885.0,1080.0,out,right,15883.000000000004,1081.0000000000002
15885.0,1020.0,out,right,15883.000000000004,1023.0000000000002
15885.0,960.0,out,right,15883.000000000004,965.0000000000002
15885.0,900.0,out,right,15883.000000000004,907.0000000000002
15885.0,855.0,out,right,15883.000000000004,849.0000000000002
15885.0,795.0,out,right,15883.000000000004,791.0000000000002
15885.0,735.0,out,right,15883.000000000004,733.0000000000002
15885.0,675.0,out,right,15883.000000000004,675.0000000000001
15885.0,1260.0,out,right,15883.000000000004,1255.0000000000002
15885.0,390.0,out,right,15883.000000000004,385.0000000000001
15885.0,330.0,out,right,15883.000000000004,327.00000000000006
15885.0,270.0,out,right,15883.000000000004,269.00000000000006
15885.0,210.0,out,right,15883.000000000004,211.00000000000006
15885.0,150.0,out,right,15883.000000000004,153.00000000000003
15885.0,90.0,out,right,15883.000000000004,95.00000000000003
15885.0,615.0,out,right,15883.000000000004,617.0000000000001
15885.0,30.0,out,right,15883.000000000004,37.00000000000001
15885.0,555.0,out,right,15883.000000000004,559.0000000000001
15885.0,-15.0,out,right,15883.000000000004,-21.000000000000004
15885.0,495.0,out,right,15883.000000000004,501.0000000000001
15885.0,450.0,out,right,15883.000000000004,443.0000000000001
15885.0,-420.0,out,right,15883.000000000004,-427.0000000000001
15885.0,-1185.0,out,right,15883.000000000004,-1181.0000000000002
15885.0,-480.0,out,right,15883.000000000004,-485.0000000000001
15885.0,-1245.0,out,right,15883.000000000004,-1239.0000000000002
15885.0,-540.0,out,right,15883.000000000004,-543.0000000000001
15885.0,-1290.0,out,right,15883.000000000004,-1297.0000000000002
15885.0,-600.0,out,right,15883.000000000004,-601.0000000000001
15885.0,-1350.0,out,right,15883.000000000004,-1355.0000000000002
15885.0,-660.0,out,right,15883.000000000004,-659.0000000000001
15885.0,-1410.0,out,right,15883.000000000004,-1413.0000000000002
15885.0,-720.0,out,right,15883.000000000004,-717.0000000000001
15885.0,-780.0,out,right,15883.000000000004,-775.0000000000002
15885.0,-135.0,out,right,15883.000000000004,-137.00000000000003
15885.0,-840.0,out,right,15883.000000000004,-833.0000000000002
15885.0,-75.0,out,right,15883.000000000004,-79.00000000000001
15885.0,-885.0,out,right,15883.000000000004,-891.0000000000002
15885.0,-195.0,out,right,15883.000000000004,-195.00000000000006
15885.0,-945.0,out,right,15883.000000000004,-949.0000000000002
15885.0,-255.0,out,right,15883.000000000004,-253.00000000000006
15885.0,-1005.0,out,right,15883.000000000004,-1007.0000000000002
15885.0,-315.0,out,right,15883.000000000004,-311.00000000000006
15885.0,-1065.0,out,right,15883.000000000004,-1065.0000000000002
15885.0,-375.0,out,right,15883.000000000004,-369.0000000000001
15885.0,-1125.0,out,right,15883.000000000004,-1123.0000000000002
105.0,-1500.0,chip_range,,,
16095.0,-1500.0,chip_range,,,
105.0,1500.0,chip_range,,,
16095.0,1500.0,chip_range,,,
13485.0,720.0,center,,13487.208000000002,718.5680000000002
13335.0,720.0,center,,13337.208000000002,718.5680000000002
12885.0,780.0,center,,12880.908000000003,783.5680000000002
12735.0,780.0,center,,12730.908000000003,783.5680000000002
13140.0,840.0,center,,13140.908000000003,843.5680000000002
12990.0,840.0,center,,12990.908000000003,843.5680000000002
12885.0,840.0,center,,12880.908000000003,843.5680000000002
12735.0,840.0,center,,12730.908000000003,843.5680000000002
10110.0,120.0,center,,10113.901000000002,118.81100000000004
10260.0,120.0,center,,10263.901000000002,118.81100000000004
10095.0,405.0,center,,10090.201000000003,398.8110000000001
9945.0,405.0,center,,9940.201000000003,398.8110000000001
10350.0,405.0,center,,10350.201000000003,398.8110000000001
10200.0,405.0,center,,10200.201000000003,398.8110000000001
9465.0,405.0,center,,9468.201000000003,398.8110000000001
9315.0,405.0,center,,9318.201000000003,398.8110000000001
9735.0,405.0,center,,9728.201000000003,398.8110000000001
9585.0,405.0,center,,9578.201000000003,398.8110000000001
8850.0,405.0,center,,8846.201000000003,398.8110000000001
8700.0,405.0,center,,8696.201000000003,398.8110000000001
9105.0,405.0,center,,9106.201000000003,398.8110000000001
8955.0,405.0,center,,8956.201000000003,398.8110000000001
9750.0,120.0,center,,9751.901000000002,118.81100000000004
9900.0,120.0,center,,9901.901000000002,118.81100000000004
9495.0,120.0,center,,9491.901000000002,118.81100000000004
9645.0,120.0,center,,9641.901000000002,118.81100000000004
12735.0,285.0,center,,12730.908000000003,283.56800000000004
13335.0,225.0,center,,13337.208000000002,218.56800000000004
12885.0,345.0,center,,12880.908000000003,343.5680000000001
12885.0,90.0,center,,12880.908000000003,93.56800000000003
13440.0,465.0,center,,13441.808000000003,468.5680000000001
13590.0,465.0,center,,13591.808000000003,468.5680000000001
12735.0,345.0,center,,12730.908000000003,343.5680000000001
12735.0,90.0,center,,12730.908000000003,93.56800000000003
12735.0,600.0,center,,12730.908000000003,593.5680000000001
12990.0,600.0,center,,12990.908000000003,593.5680000000001
13485.0,225.0,center,,13487.208000000002,218.56800000000004
12990.0,345.0,center,,12990.908000000003,343.5680000000001
13140.0,345.0,center,,13140.908000000003,343.5680000000001
13140.0,90.0,center,,13140.908000000003,93.56800000000003
12885.0,540.0,center,,12880.908000000003,533.5680000000001
12735.0,540.0,center,,12730.908000000003,533.5680000000001
